#*****Optical Chain*****
#
Element	  | Temperature      | Absorption                      | Reflection                      | Thickness       | Index           | Loss Tangent    | Conductivity    | Surface Rough   | Spillover                       | Spillover Temp  | Scatter Frac                    | Scatter Temp   
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#	  | [K]              | NA                              | NA	                         | [mm]            | NA              | [e-4]           | [e6 S/m]        | [um RMS]        | NA                              | [K]             | NA                              | [K]            
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Primary   | 273.0 +/- 0.000  | [0.002,0.005] +/- [0.000,0.000] | [0.000,0.000] +/- [0.000,0.000] | NA              | NA              | NA              | NA              | NA              | [0.010,0.010] +/- [0.000,0.000] | NA              | NA	                         | NA             
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Mirror	  | 273.0 +/- 0.000  | [0.002,0.005] +/- [0.000,0.000] | [0.000,0.000] +/- [0.000,0.000] | NA              | NA              | NA              | NA	         | NA	           | NA	                             | NA              | NA	                         | NA             
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Window	  | 265.0 +/- 0.000  | [0.005,0.010] +/- [0.000,0.000] | [0.010,0.010] +/- [0.000,0.000] | NA              | NA              | NA	       | NA		 | NA              | NA	                             | NA              | NA	                         | NA             
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
IRShader1 | 291.0 +/- 0.000  | [0.001,0.001] +/- [0.000,0.000] | [0.000,0.000] +/- [0.000,0.000] | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA              | NA	                         | NA             
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
IRShader2 | 245.0 +/- 0.000  | [0.001,0.001] +/- [0.000,0.000] | [0.000,0.000] +/- [0.000,0.000] | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA              | NA	                         | NA             
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
IRShader3 | 200.0 +/- 0.000  | [0.001,0.001] +/- [0.000,0.000] | [0.000,0.000] +/- [0.000,0.000] | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA              | NA	                         | NA             
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
AbsFilter | 80.00 +/- 0.000  | [0.010,0.010] +/- [0.000,0.000] | [0.020,0.020] +/- [0.000,0.000] | NA              | NA              | NA              | NA		 | NA	           | NA	                             | NA              | NA	                         | NA             
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
LowPass1  | 40.00 +/- 0.000  | [0.010,0.010] +/- [0.000,0.000] | [0.050,0.050] +/- [0.000,0.000] | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA	       | NA	                         | NA	        
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Lens1	  | 4.000 +/- 0.000  | [0.005,0.010] +/- [0.000,0.000] | [0.005,0.005] +/- [0.000,0.000] | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA              | NA	                         | NA             
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
LowPass2  | 4.000 +/- 0.000  | [0.010,0.010] +/- [0.000,0.000] | [0.050,0.050] +/- [0.000,0.000] | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA	       | NA                              | NA        
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Lens2	  | 2.000 +/- 0.000  | [0.005,0.010] +/- [0.000,0.000] | [0.005,0.005] +/- [0.000,0.000] | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA              | NA	                         | NA             
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Aperture  | 2.000 +/- 0.000  | NA                              | NA                              | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA              | NA	                         | NA            
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
LowPass3  | 2.000 +/- 0.000  | [0.010,0.010] +/- [0.000,0.000] | [0.050,0.050] +/- [0.000,0.000] | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA	       | NA	                         | NA	        
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Lens3	  | 2.000 +/- 0.000  | [0.005,0.010] +/- [0.000,0.000] | [0.005,0.005] +/- [0.000,0.000] | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA              | NA	                         | NA    
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
LowPass4  | 1.500 +/- 0.000  | [0.010,0.010] +/- [0.000,0.000] | [0.050,0.050] +/- [0.000,0.000] | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA	       | NA	                         | NA	        
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
